;Frequencys;AmplitudeCoefficent;AmplitudeCoefficentUncer;Phase;PhaseUncer;N
0;10.0;1.007024174739109;0.00018174908648298149;1.0609450054704041e-05;9.99753137891491e-05;468.0
1;13.0;1.0070159886380234;0.0001556179493748037;1.336273175235622e-05;1.0128102040672317e-05;468.0
2;16.0;1.0070086892224488;0.00015593497809499355;1.8933260773598654e-05;1.124739936796045e-05;468.0
3;20.0;1.0070070494779568;0.00015490844881920247;2.7487288015841536e-05;1.0358274028403313e-05;468.0
4;25.0;1.0070032670172628;0.00015604651024402364;3.6986471686278274e-05;1.1740324290355895e-05;468.0
5;32.0;1.006998637940912;0.00015705983178290872;5.371553537720825e-05;1.4449328508875843e-05;468.0
6;40.0;1.0069961018045224;0.00015552663434285726;7.180681212475218e-05;1.513986873595648e-05;468.0
7;50.0;1.006997184782327;0.00015774697766333327;9.327080067423588e-05;2.6666647740315698e-05;468.0
8;63.0;1.0070038224535243;0.00016047669121625928;0.00011534790340294097;2.0852180383368618e-05;468.0
9;79.0;1.006993410884804;0.00015587389079305851;0.0001471445608961834;2.5847191502436686e-05;468.0
10;100.0;1.0069943924630347;0.00015772585629924736;0.0001852954836560364;3.0237302503635377e-05;468.0
11;130.0;1.0069869930311866;0.00015542101000628333;0.00024472388332273903;4.41947268301803e-05;468.0
12;160.0;1.006989641227872;0.00015610391427765222;0.00030802806651996815;5.1581992967932785e-05;468.0
13;200.0;1.0069899347388314;0.00015443996433051204;0.0003807781981578193;5.4108783218107914e-05;468.0
14;250.0;1.0069867200710494;0.0001578423236608484;0.0004733196764603543;7.592144362651091e-05;468.0
15;320.0;1.006984284322194;0.00015500998980583488;0.0006028380777132357;9.825767394324778e-05;468.0
16;400.0;1.0069777505810156;0.00016197003724628876;0.0007509157267435421;0.00012737066212991456;468.0
17;500.0;1.006963393471684;0.00015945621206781233;0.0009389689312440057;0.0001598029039574769;468.0
18;630.0;1.0069366334107304;0.00015868688485026481;0.0011753446701772132;0.00019614031762214126;468.0
19;790.0;1.0069042878373287;0.00015716363560937257;0.0014744897499504685;0.00022630854021939606;468.0
20;1000.0;1.006848981003679;0.00016085943405216223;0.0018806616886471279;0.00031354551308097797;468.0
21;1300.0;1.0067306618367633;0.00016081904783303103;0.0024776243689377912;0.00040674225039380755;468.0
22;1600.0;1.006608784579827;0.0001591815388675926;0.0030954676624398636;0.0004995973846411732;468.0
23;2000.0;1.0074647934549719;0.00016451454740703725;0.003927947674108573;0.0005959415600563432;468.0
24;2500.0;1.007190544297484;0.00016869274782816679;0.005049015730024886;0.0007047902204063618;468.0
25;3200.0;1.0068096558867052;0.00017293216719960693;0.0066673597526090604;0.0009265271611275344;468.0
26;4000.0;1.0076103015069493;0.0001770358952964401;0.008669853190519574;0.0011983231031697287;468.0
27;5000.0;1.007101686676039;0.00017437192994086253;0.011206918690232999;0.0015004842355998257;467.0
28;6300.0;1.0065081048941174;0.0001738048772412042;0.014632406784069428;0.0020069464956799983;467.0
29;7900.0;1.0071214881859156;0.00017493102522663485;0.01908518136370612;0.002237260505735141;467.0
30;10000.0;1.007593913804411;0.0001975001409339291;0.024950713071685282;0.0031375008653460224;467.0
31;13000.0;1.0066537043512063;0.00017664383624339455;0.033395317795404604;0.003663889621174872;467.0
32;16000.0;1.0070920595131592;0.00017210496178545278;0.042086410902775;0.004521731981965209;467.0
33;20000.0;1.007521624815299;0.00017341103289484258;0.05390075692897582;0.005723293050287697;467.0
34;25000.0;1.0068360354323966;0.00016824278972509733;0.06882206133326657;0.008047116918797918;467.0
35;32000.0;1.007508213145858;0.00016236086821321197;0.089303109573428;0.009928104594917634;467.0
36;40000.0;1.0070934344665075;0.0001622702623421039;0.1129494829859723;0.012455157370508492;467.0
37;50000.0;1.0069786922949506;0.00016122964590221223;0.14225653484426967;0.015242599769524304;467.0
38;63000.0;1.0081732285284029;0.00016962615446599463;0.17946709843795583;0.017944919746181568;467.0
39;79000.0;1.0067829727911501;0.00018078641480139224;0.22577767667741633;0.0232531212790904;467.0
40;100000.0;1.006923769358698;0.00020957496103381242;0.2877232323426042;0.028992362521139993;467.0
41;130000.0;1.0112351914447615;0.00027736993767052653;0.3701148242778273;0.13296461471024545;467.0
42;160000.0;1.008869570005337;0.00038922129398594657;0.46117143778441116;0.04591443255684092;467.0
43;200000.0;1.0044499959167903;0.0004993228729335136;0.5703609097752582;0.18111035897907987;467.0
44;250000.0;1.0038562765680226;0.0006556666430259342;0.7190013298615539;0.06654694937496472;467.0
45;320000.0;1.0035871840676633;0.0011435355774273533;0.9201892498505857;0.07178031432620112;467.0
46;400000.0;1.0035706789618342;0.0014823238524304884;1.1499467669955992;0.08210077662563167;467.0
47;500000.0;1.0020872350543941;0.002583842476054721;1.434180473361717;0.12039761618598592;467.0
48;630000.0;1.001758459628391;0.0033022226155960226;1.804447858097099;0.1167858050189652;467.0
49;790000.0;0.9988733930143565;0.005166552018328226;2.2529807781418687;0.14365099514460297;467.0
50;1000000.0;0.9949937527397282;0.03219329539530075;2.7361412670496073;1.4511414994072038;467.0
